University of California Santa Cruz,,,,,,,,,,,,,,,
Grade Distribution Fall 2011,,,,,,,,,,,,,,,

This provides the number of undergraduate students in a given class who received each grade.  Classes displayed are undergraduate classes with 10 or more students enrolled; classes in which all or all but one students who completed the class received the same grade have been omitted.  Definitions of grades can be found at http://registrar.ucsc.edu/grading/chart.html.,,,,,,,,,,,,,,,
Created 3/27/2012,,,,,,,,,,,,,,,
Instructor,Subject-Catalog Number,Course Title,A+,A,A-,B+,B,B-,C+,C,D,F,P,NP,W
"Abbink,Emily K.",STEV- 80A,UD:Self & Society,0,10,17,15,3,0,1,0,0,0,1,0,0
"Abdollahian,Yashar",CHEM- 1N,Gen Chem Lab,0,113,37,28,74,12,5,11,3,1,0,0,1
"Abrams,Elizabeth S",WRIT- 2,Rhetoric & Inquiry,0,8,9,5,12,0,3,0,0,0,10,0,0
"Abrams,Zsuzsanna",GERM- 1,Instr German Lang,4,6,1,4,4,1,1,4,0,0,3,0,0
"Aguirre,Anthony N",PHYS- 171,Genl Relativity,0,5,0,1,2,0,1,0,0,1,0,0,0
"Akeson,Mark A",BME- 123A,Bioengineering Proj 1,0,1,4,7,3,2,1,1,0,0,0,0,0
"Aladro Font,Jorge",LTSP- 60,Intr Literary Genre,8,11,4,1,2,3,0,0,0,0,0,0,0
"Alexander,Rebecca Anne",CMMU- 122,Whiteness & Racism,4,18,5,2,3,1,0,1,0,1,5,0,0
"Allen,Ernest",TIM- 50,Business Inf System,8,19,15,20,15,7,6,4,3,3,4,0,0
"Alley,Kenneth John",ART- 80D,Intro Photography,0,21,44,44,28,7,1,3,0,1,6,0,3
"Amador,Sarah Arantza",MERR- 80A,UD: Cultural IDs,0,2,21,21,21,3,1,0,0,2,1,0,0
"Amis,Margaret Crane",COWL- 80A,UD: Imagining Justice,0,1,3,6,4,2,3,1,0,0,0,0,0
"Anderson,Elliot W",ART- 119,Digital Video,0,6,2,1,3,0,0,0,0,0,0,0,1
"Anthony,David H",HIS- 121A,Afro-Amer to 1877,0,17,9,9,5,0,0,0,0,0,1,1,2
"Aptheker,Bettina F",FMST- 80A,Feminism/SocJust,17,28,53,21,14,16,5,5,1,1,2,1,1
"Archimedes,Sondra Maria",CLNI- 80A,UD:Intl/Global Issues,0,1,9,5,5,0,0,0,0,0,1,0,0
"Arnett,Jeffrey Michael",PRTR- 80A,UD: Writing/Arts,0,0,1,11,5,0,0,0,0,2,0,0,0
,WRIT- 2,Rhetoric & Inquiry,0,0,2,9,7,0,0,0,0,1,5,0,1
"Arredondo,Gabriela F",LALS- 100,Concepts/Theories LALS,3,7,21,11,21,17,7,8,1,5,10,0,3
"Arthur,Derede L",COWL- 80A,UD: Imagining Justice,0,1,5,10,16,10,6,4,3,0,1,1,0
"Ash,Doris B",EDUC- 60,Intro to Education,12,65,59,46,52,21,15,11,2,2,16,0,1
"Aso,Noriko",HIS- 150A,Ancient Japan,0,24,24,28,12,7,6,4,0,0,1,0,0
"Asphaug,Erik",EART- 111,Math in Earth Science,2,3,4,1,0,2,0,4,0,3,1,3,0
"Atanasoski,Neda",FMST- 194O,Gender/Human Rights,0,5,5,2,3,0,0,0,0,0,0,0,2
"Athens,Allison Katherine",LTWL- 109,Topic Cultral Study,2,7,3,6,4,1,2,0,0,0,1,0,0
"Azmitia,Margarita",PSYC- 10,Intro Develop Psych,1,7,8,13,25,12,18,21,5,2,0,0,2
"Bachman,Erik M.",LTMO- 145B,Modern Literature,0,1,9,8,7,5,0,0,0,0,0,0,0
"Baker,Mark",LALS- 102,Adv Expository Writg,0,1,4,6,2,2,0,0,0,0,0,0,0
"Banuelos,L Esthela",LALS- 143,Race & Ethnicity,0,2,2,3,5,0,6,8,0,1,4,0,1
"Barahona,Byron A",SPAN- 2,Instr Spanish Lang,0,3,12,3,4,8,1,3,0,0,2,0,1
,SPAN- 6,Intermed/Adv Span,2,2,7,4,1,0,0,1,0,0,0,0,0
"Barcelo,Brenda",SPAN- 3,Instr Spanish Lang,0,1,7,3,5,1,1,0,0,0,0,0,0
,SPAN- 5M,Medical Spanish,1,4,6,2,5,4,0,0,2,0,0,0,0
"Baron,Brandin S.",THEA- 10,Intro to Design,17,43,11,4,2,1,1,1,0,0,0,0,0
"Barsimantov,James Albert",ENVS- 141,Ecological Econ,0,15,18,4,20,2,0,4,0,1,6,0,1
"Bartlett,Lora",EDUC- 60,Intro to Education,12,65,59,46,52,21,15,11,2,2,16,0,1
"Barton,Katharine Kimball",PHYE- 30J,Strength Training,0,0,0,0,0,0,0,0,0,0,17,6,0
"Bastiaans,Elizabeth Jane",BIOE- 140,Behavioral Ecology,3,9,5,5,31,10,10,22,11,0,0,0,1
"Basu,Dilip K",HIS- 147B,Poli/Soc Mod S Asia,0,7,5,5,5,4,1,4,1,3,0,1,0
"Bauerle,Frank",MATH- 3,Precalculus,0,46,21,31,57,14,21,111,25,22,8,2,2
,MATH- 19A,"Calc:Sci,Engin,Math",0,33,4,7,34,12,15,35,18,17,0,0,3
"Baxter,Wendy",CLTE- 199F,Independent Study,0,11,0,0,0,0,1,0,0,0,1,0,0
"Beal,Amy C",MUSC- 101C,Hist West Art Music,3,6,3,6,9,1,1,2,0,0,0,0,1
"Beard,Jessica Jeanne",LTEL- 170H,Dickinson/Am Poets,1,11,2,5,6,3,0,0,0,1,1,0,1
"Bearns,Stuyvesant Galard Brassa",SOCY- 156,US Latino Identity,1,7,7,4,9,4,2,2,0,0,1,0,1
